Title,Ratings,Votings,Duration,Genre
250. The Experts,6.2, (263),2h 1m,Crime
251. The Shadow,6.5, (249),1h 30m,Crime
252. Danger in the Dorm,5.0, (152),1h 26m,Crime
253. Midas,4.6, (337),1h 25m,Crime
254. Visfot,5.7, (1.1K),2h 10m,Crime
255. Hovering Blade,6.1, (235),1h 47m,Crime
257. Nefarious,7.1, (54),1h 25m,Crime
"258. MoviePass, MovieCrash",6.7, (2.8K),1h 36m,Crime
259. The Dealer,8.2, (11),2h,Crime
261. Mirza: Part 1 - Joker,6.8, (237),2h 45m,Crime
262. Untold: The Murder of Air McNair,5.6, (2K),57m,Crime
263. Bozji gnjev,7.2, (58),1h 51m,Crime
"264. Hemet, or the Landlady Don't Drink Tea",4.3, (87),1h 29m,Crime
265. 9 Windows,3.6, (306),1h 22m,Crime
266. Samandar,7.6, (137),2h 52m,Crime
268. Guess Who,4.8, (365),1h 33m,Crime
270. Prasanna Vadanam,6.6, (534),2h 26m,Crime
271. Zebra,8.0, (3.2K),2h 44m,Crime
272. The Mick and the Trick,5.0, (75),1h 36m,Crime
273. Murder and Cocktails,4.0, (360),1h 28m,Crime
274. Gold Boy,6.5, (126),2h 9m,Crime
"275. LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,Crime
276. Io e te dobbiamo parlare,4.2, (148),1h 35m,Crime
277. Texas Twister,2.5, (157),1h 28m,Crime
278. Oppa,8.5, (47),1h 24m,Crime
279. Ghost Killer,7.1, (62),1h 45m,Crime
280. Vivekam,8.2, (308),1h 44m,Crime
281. Krista,5.6, (46),58m,Crime
282. RTI,5.9, (26),2h 10m,Crime
283. The Texas Cheerleader Murder Plot,5.0, (293),1h 40m,Crime
284. Drive,5.6, (321),1h 30m,Crime
285. Døde menn går på ski,5.5, (198),1h 29m,Crime
286. Sattam En Kaiyil,8.0, (2.2K),2h 4m,Crime
287. Satyabhama,5.9, (1.5K),2h 12m,Crime
288. Prepare to Die,4.6, (232),1h 33m,Crime
289. Killer Babes,3.5, (282),1h 34m,Crime
290. The Heist,6.9, (2K),2h,Crime
291. Suspect,4.5, (80),1h 34m,Crime
292. Sheriff,6.9, (1.1K),2h 13m,Crime
293. Silvio,3.0, (504),1h 54m,Crime
294. The Shakedown,5.0, (305),1h 44m,Crime
295. Blood and Black,8.1, (1.1K),1h 28m,Crime
"296. Milk, Rice, and the Blood",9.0, (51),45m,Crime
297. Bodiless,5.7, (1K),1h 30m,Crime
298. Vares X,3.7, (114),1h 25m,Crime
300. They Turned Us Into Killers,2.8, (252),1h 26m,Crime
301. Taxali Gate,6.6, (118),1h 35m,Crime
302. S.I.T,7.9, (2.3K),1h 50m,Crime
303. Silver Star,6.9, (15),1h 42m,Crime
305. Priyo Maloti,6.7, (173),1h 59m,Crime
306. The Infallibles,4.8, (750),1h 39m,Crime
307. Andhagan,6.7, (1.2K),2h 22m,Crime
308. Vina: Before 7 Days,5.4, (577),1h 40m,Crime
309. What Happens in Miami,4.3, (219),1h 30m,Crime
310. Plea,6.9, (23),1h 28m,Crime
311. Bhaje Vaayu Vegam,6.1, (550),2h 16m,Crime
312. Mathu Vadalara 2,7.0, (1.6K),2h 19m,Crime
314. Fyre Rises,6.5, (321),1h 50m,Crime
315. The Legend of the Vagabond Queen of Lagos,7.8, (31),1h 40m,Crime
316. Protein,6.6, (61),1h 40m,Crime
317. Bangkok Breaking: Heaven and Hell,5.8, (662),2h 26m,Crime
318. Little Jaffna,6.9, (40),1h 40m,Crime
319. Sentimentaaal,5.8, (972),2h 15m,Crime
321. Wannabe,4.6, (126),1h 42m,Crime
322. Sinful Lies,8.0, (6),1h 5m,Crime
323. Killerwood,6.8, (22),1h 24m,Crime
324. The Star City Murders,4.1, (141),1h 19m,Crime
325. Filthy Animals,7.3, (91),1h 36m,Crime
326. Hustlers Take All,5.5, (80),1h 46m,Crime
327. Mr. Bachchan,3.6, (5.3K),2h 30m,Crime
