Title,Ratings,Votings,Duration,Genre
113. Mr. Manhattan,6.7, (440),1h 50m,Romance
114. Love,7.3, (294),1h 59m,Romance
115. Love Switch,6.0, (232),1h 29m,Romance
116. Daniela Forever,6.3, (203),1h 53m,Romance
"117. Love, Divided",5.9, (4.6K),1h 38m,Romance
118. Eks,4.5, (188),2h 1m,Romance
119. Another End,6.5, (718),2h 9m,Romance
121. Art of Love,4.6, (2.4K),1h 39m,Romance
122. Qalb,6.6, (2.3K),2h 27m,Romance
123. Ajosepo,8.7, (54),2h 14m,Romance
124. Still Fabulous,4.9, (854),1h 32m,Romance
125. The Southern Chronicles,8.8, (2.4K),2h,Romance
126. Uranus 2324,6.5, (4.7K),2h 10m,Romance
127. Undergrads,5.5, (49),1h 6m,Romance
128. My Name Is Loh Kiwan,6.7, (4.3K),2h 11m,Romance
129. Previously Saved Version,5.4, (416),1h 57m,Romance
130. Young Lion of the West,5.2, (108),1h 33m,Romance
131. Two to One,6.1, (715),1h 56m,Romance
132. Pure Love,7.2, (135),1h 49m,Romance
133. Believe in Christmas,6.1, (822),1h 30m,Romance
134. Meet Me Next Christmas,5.7, (8.5K),1h 45m,Romance
135. Why Do You?,5.3, (414),1h 43m,Romance
136. Música,6.4, (5K),1h 31m,Romance
137. Meet Me in Rome,5.1, (616),1h 25m,Romance
139. The Silence of Marcos Tremmer,5.9, (148),1h 52m,Romance
140. Her Story,7.7, (1.7K),2h 3m,Romance
141. Books & Drinks,6.3, (92),1h 34m,Romance
142. Switch Up,8.6, (27),1h 45m,Romance
143. Bau: Artist at War,7.0, (55),2h 10m,Romance
144. Lesbian Space Princess,8.0, (107),1h 27m,Romance
"145. Hello, Love, Again",6.8, (825),2h 2m,Romance
146. Siddharth Roy,6.4, (2.9K),2h 28m,Romance
147. The Groomsmen: First Look,6.1, (382),1h 22m,Romance
148. Savi,6.2, (35K),2h 6m,Romance
149. Given 3: To the Sea,8.7, (31),1h 20m,Romance
150. Perfect Endings,5.6, (191),1h 40m,Romance
151. 18×2 Beyond Youthful Days,7.3, (1.8K),2h 3m,Romance
152. From Contract Lover to the Billionaire's Bride,7.0, (507),1h 24m,Romance
153. The Holiday Junkie,6.3, (445),1h 28m,Romance
154. Duino,7.6, (114),1h 48m,Romance
155. Queens of Drama,6.3, (187),1h 54m,Romance
156. Breakup Season,5.8, (305),1h 42m,Romance
157. Stag,5.2, (110),1h 27m,Romance
158. Wanted: Girlfriend,4.3, (217),49m,Romance
159. Intoxicated by Love,8.5, (13K),1h 58m,Romance
160. Phir Aayi Hasseen Dillruba,5.8, (6.8K),2h 12m,Romance
161. Black Tea,5.1, (537),1h 50m,Romance
162. Mascarpone: The Rainbow Cake,6.1, (496),1h 45m,Romance
163. The Groomsmen: Second Chances,6.1, (429),1h 24m,Romance
164. Passport to Love,6.2, (398),1h 28m,Romance
165. Tillu Square,6.6, (3.4K),2h 17m,Romance
166. Else,6.1, (230),1h 40m,Romance
167. Wild Wild Punjab,6.2, (15K),1h 49m,Romance
168. When in Rome,6.1, (736),1h 38m,Romance
169. Writing a Love Song,6.7, (180),1h 25m,Romance
170. Ek Anjaan Rishtey Ka Guilt 3,8.0, (67),1h 44m,Romance
171. Good Bad Things,5.7, (192),1h 36m,Romance
172. Goyo,6.6, (2.2K),1h 46m,Romance
174. Super Happy Forever,6.9, (172),1h 34m,Romance
175. Say a Little Prayer,8.5, (42),1h 43m,Romance
176. Bad Newz,4.7, (26K),2h 22m,Romance
177. Murder Mubarak,5.8, (51K),2h 20m,Romance
178. Midwinter,7.0, (52),1h 35m,Romance
179. Drained,4.5, (303),1h 47m,Romance
180. Langue Étrangère,6.7, (498),1h 41m,Romance
181. The Time of Fever,8.0, (635),1h 41m,Romance
