Title,Ratings,Votings,Duration,Genre
114. I Don't Understand You,7.1, (71),1h 36m,Horror
115. Shell,6.6, (68),1h 40m,Horror
116. Devils Stay,4.8, (275),1h 35m,Horror
117. House of Spoils,5.0, (3.8K),1h 41m,Horror
118. Mom,5.2, (183),1h 35m,Horror
119. Dead Teenagers,3.6, (117),1h 20m,Horror
120. Cinderella's Curse,3.3, (1.3K),1h 22m,Horror
121. Shelby Oaks,6.0, (240),1h 39m,Horror
122. The Soul Eater,5.9, (2.5K),1h 48m,Horror
123. Butchers Book Two: Raghorn,4.1, (555),1h 28m,Horror
124. Are You There?,7.0, (46),1h 28m,Horror
125. Mr. Crocket,5.4, (4.5K),1h 28m,Horror
126. #MissingCouple,5.3, (518),1h 33m,Horror
127. The Painted,4.8, (290),1h 25m,Horror
128. Snakeeater,5.3, (227),1h 20m,Horror
129. Milk & Serial,6.6, (2.5K),1h 2m,Horror
131. Dead Mail,6.7, (293),1h 46m,Horror
132. Shaitaan,6.5, (54K),2h 12m,Horror
133. Rippy,4.1, (836),1h 23m,Horror
134. Cloud,6.4, (977),2h 4m,Horror
135. Operation Blood Hunt,3.4, (475),1h 33m,Horror
136. Kryptic,6.3, (96),1h 36m,Horror
137. Curse of the Seven Oceans,5.5, (360),1h 34m,Horror
138. Crescent City,3.9, (1.3K),1h 43m,Horror
139. You Can't Run Forever,4.5, (4.3K),1h 42m,Horror
140. The Lost Daughter,5.9, (285),1h 39m,Horror
141. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Horror
142. Invader,5.7, (54),1h 10m,Horror
143. 1978,5.4, (193),1h 16m,Horror
144. Love Me Dead,6.5, (32),1h 27m,Horror
145. Lumina,2.1, (656),1h 53m,Horror
146. Monster Awakens,5.7, (84),1h 14m,Horror
147. Out Come the Wolves,4.7, (1.5K),1h 26m,Horror
148. Dan Da Dan: First Encounter,8.2, (2.7K),1h 23m,Horror
149. Parvulos,6.7, (301),1h 59m,Horror
150. Mother Father Sister Brother Frank,5.8, (235),1h 25m,Horror
151. The Girl Who Wore Yellow Lace,4.5, (20),1h 22m,Horror
152. Director's Cut,7.7, (93),1h 30m,Horror
153. Cinderella's Revenge,3.7, (1.1K),1h 25m,Horror
154. Carved,4.4, (2.7K),1h 35m,Horror
155. Hell Hole,4.4, (1.3K),1h 32m,Horror
156. Shark Girl,2.7, (153),1h 22m,Horror
157. Witchboard,7.6, (88),1h 55m,Horror
158. A Desert,6.3, (160),1h 43m,Horror
159. Here After,4.1, (1.3K),1h 33m,Horror
160. Heresy,6.9, (294),1h 1m,Horror
161. Chime,6.4, (2.3K),45m,Horror
162. Ick,5.6, (199),1h 27m,Horror
163. Queen of Bones,6.6, (84),1h 30m,Horror
164. Unspeakable: Beyond the Wall of Sleep,6.2, (46),1h 30m,Horror
165. Latency,4.2, (2.4K),1h 34m,Horror
166. DarkGame,4.6, (2.8K),1h 40m,Horror
167. Drive Back,4.8, (295),1h 34m,Horror
168. The Windigo,4.7, (691),1h 25m,Horror
169. Replicator,3.8, (126),1h 15m,Horror
170. Frewaka,6.3, (149),1h 43m,Horror
171. #AMFAD: All My Friends Are Dead,4.4, (1.2K),1h 31m,Horror
172. Desert Road,6.7, (154),1h 30m,Horror
173. Butchers Book Three: Bonesaw,5.4, (77),1h 47m,Horror
174. Mutants of Nature Cove,3.6, (149),1h 28m,Horror
175. Death Whisperer 2,6.4, (1.3K),1h 50m,Horror
176. Freelance,4.8, (332),1h 50m,Horror
177. Krazy House,4.8, (1.4K),1h 29m,Horror
178. Alien Country,4.4, (359),1h 36m,Horror
179. Conjuring the Cult,5.7, (828),1h 33m,Horror
180. Slay,6.5, (1.1K),1h 39m,Horror
181. 4:44 : Time of Fear,5.8, (10),44m,Horror
182. Model House,4.0, (1.1K),1h 25m,Horror
183. Room Service,3.9, (294),47m,Horror
184. The Corpse Washer,6.2, (1.2K),1h 47m,Horror
185. Wolves Against the World,3.4, (57),1h 28m,Horror
187. 12 to Midnight,3.6, (282),1h 36m,Horror
188. Witch,5.0, (1.4K),1h 47m,Horror
189. The Hangman,3.3, (995),1h 32m,Horror
190. The Vampire Next Door,4.6, (752),1h 50m,Horror
191. Cellphone,3.0, (705),1h 28m,Horror
192. Please Don't Feed the Children,5.5, (67),1h 34m,Horror
193. Terminator: Skynet Rising,6.8, (263),1h 28m,Horror
194. Handsome Guys,6.5, (792),1h 41m,Horror
195. Una ballena,6.0, (71),1h 48m,Horror
196. Grave Torture,6.2, (2.8K),1h 57m,Horror
197. The Redemption of Sin,6.0, (174),1h 56m,Horror
198. We Are Wolves,3.5, (258),1h 37m,Horror
199. (Pri)sons,5.1, (267),1h 40m,Horror
200. Bloodline Killer,3.8, (4.4K),1h 45m,Horror
201. Anatema,4.2, (197),1h 31m,Horror
202. A Savior Red,5.8, (239),1h 27m,Horror
203. Succubus,3.5, (834),1h 36m,Horror
204. X Files,1.9, (61),1h 14m,Horror
205. American Werewolf,3.0, (110),1h 7m,Horror
206. Wanita Ahli Neraka,5.2, (200),1h 35m,Horror
207. Monster on a Plane,5.5, (2.3K),1h 28m,Horror
208. Amityville: Where the Echo Lives,1.5, (302),1h 29m,Horror
209. Sayuri,6.4, (273),1h 48m,Horror
210. Test Screening,6.9, (66),1h 32m,Horror
211. Exorcism Chronicles: The Beginning,7.2, (93),1h 25m,Horror
212. The Killgrin,8.1, (20),1h 23m,Horror
213. Spiders on a Plane,5.2, (370),1h 18m,Horror
214. Curse of the Sin Eater,4.9, (733),1h 30m,Horror
215. The Monster Beneath Us,5.8, (414),1h 43m,Horror
216. Frankie Freako,5.6, (1.1K),1h 25m,Horror
217. The Bunker,7.1, (44),1h 32m,Horror
218. Hauntology,3.6, (351),1h 43m,Horror
219. Went Up the Hill,6.8, (76),1h 40m,Horror
220. The Severed Sun,6.7, (39),1h 20m,Horror
221. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,Horror
222. Bystanders,3.9, (279),1h 22m,Horror
223. Believer,4.5, (366),1h 48m,Horror
225. There's a Zombie Outside,6.8, (35),1h 15m,Horror
226. I Heard You Buy Souls,2.7, (42),1h 28m,Horror
227. Good Neighbours,3.1, (173),1h 24m,Horror
228. Thaghut,5.8, (286),1h 42m,Horror
229. Festival of the Living Dead,4.3, (633),1h 28m,Horror
230. You Shall Not Sleep Tonight,4.1, (348),1h 17m,Horror
231. The Moogai,5.5, (141),1h 26m,Horror
232. Séance Games: Metaxu,3.3, (177),1h 26m,Horror
233. Animale,5.9, (284),1h 38m,Horror
234. The Cursed Land,5.6, (287),2h 8m,Horror
235. What Lurks Beneath,4.4, (778),1h 42m,Horror
236. Stereoscope,4.1, (107),1h 31m,Horror
237. Horny Teenagers Must Die!,3.2, (233),1h 24m,Horror
238. Crust,6.0, (228),1h 42m,Horror
239. Camp Pleasant Lake,3.3, (2.4K),1h 30m,Horror
240. Peripheral,9.4, (23),1h 28m,Horror
241. Salve Maria,6.5, (456),1h 51m,Horror
242. Vampire Zombies... From Space!,7.7, (66),1h 38m,Horror
243. The Demon Disorder,4.8, (1.3K),1h 26m,Horror
244. Turno Nocturno,5.7, (246),1h 47m,Horror
245. Possession: Kerasukan,3.5, (280),1h 34m,Horror
246. Cadi,6.2, (4.3K),2h 14m,Horror
247. Beezel,4.8, (1.3K),1h 21m,Horror
248. Else,6.1, (230),1h 40m,Horror
249. The Legend of Lake Hollow,3.7, (494),1h 28m,Horror
250. Sketch,8.4, (47),1h 32m,Horror
251. Consumed,3.7, (587),1h 29m,Horror
252. Nokturno,3.7, (209),1h 39m,Horror
253. Remnant,2.6, (317),1h 52m,Horror
254. Tantra,5.3, (2.4K),2h 16m,Horror
255. Bad Fish,3.4, (315),1h 24m,Horror
256. The Ceremony Is About to Begin,4.5, (515),1h 10m,Horror
257. Destroy All Neighbors,5.3, (2K),1h 25m,Horror
258. Cisza nocna,5.6, (241),1h 52m,Horror
259. Do Not Enter,5.3, (552),1h 25m,Horror
260. Death's Sonata,7.6, (268),1h 43m,Horror
261. Last Night at Terrace Lanes,4.3, (627),1h 15m,Horror
262. Devon,2.6, (288),1h 12m,Horror
263. Unnatural,4.9, (96),1h 44m,Horror
264. The American Backyard,6.2, (151),1h 47m,Horror
265. Cara,7.0, (45),1h 36m,Horror
266. Somnium,8.5, (40),1h 32m,Horror
267. Monster Mash,3.5, (414),1h 25m,Horror
269. Murder Mubarak,5.8, (51K),2h 20m,Horror
270. The Stalking,4.0, (39),1h 12m,Horror
271. Till Death Do Us Part,6.3, (269),1h 48m,Horror
272. Crackcoon,3.6, (412),1h 28m,Horror
273. The Haunted Apartment,7.0, (96),1h 43m,Horror
274. Drained,4.5, (303),1h 47m,Horror
275. Space Sharks,1.5, (317),1h 10m,Horror
276. Stupid Games,4.2, (381),1h 26m,Horror
278. Dominion of Darkness,5.7, (777),1h 36m,Horror
279. My Boo,6.1, (666),2h 5m,Horror
280. Black,7.1, (2.7K),1h 55m,Horror
281. Lost Angels,7.0, (23),1h 36m,Horror
282. Bone Lake,6.9, (44),1h 34m,Horror
283. Haunt Season,4.9, (773),1h 21m,Horror
284. Seeds,6.7, (57),1h 22m,Horror
285. Solvent,7.3, (387),1h 34m,Horror
286. Buzz House: The Movie,3.2, (1.2K),1h 33m,Horror
287. The Buildout,4.3, (76),1h 10m,Horror
288. Strange Frequencies: Taiwan Killer Hospital,7.9, (37),1h 31m,Horror
289. Down Below,2.8, (181),1h 33m,Horror
290. Horror in the High Desert 3: Firewatch,5.4, (708),1h 28m,Horror
291. Hunting Matthew Nichols,9.0, (44),1h 36m,Horror
292. The Ritual,3.6, (7),1h 40m,Horror
293. Killer Body Count,4.7, (645),1h 49m,Horror
294. Tsunami Sharks,3.0, (58),1h 10m,Horror
295. Cora,4.7, (798),1h 40m,Horror
296. The Devil's Disciples,8.9, (37),1h 22m,Horror
297. Silent Bite,3.7, (493),1h 30m,Horror
298. Shark Exorcist 2: Unholy Waters,3.5, (135),1h 14m,Horror
299. American Terror Tales 3,2.6, (46),58m,Horror
